term
abc
abcd
abdomen
abdominal
able
abnormal
abnormality
abscess
abuse
access
accident
achieve
active
activity
actually
acute
addition
additional
adenopathy
adequate
adhesion
administer
admission
admit
advance
advanced
affect
age
ago
agree
air
airway
alcohol
alert
allergy
allow
alternative
amount
anastomosis
anemia
anesthesia
anesthetic
angiogram
angle
ankle
answer
anterior
anteriorly
antibiotic
anxiety
aorta
aortic
apparent
apparently
appear
appearance
apply
appreciate
appropriate
appropriately
approximate
approximately
area
arm
artery
arthritis
ask
aspect
aspiration
aspirin
assessment
associate
atraumatic
atrial
attempt
attention
auscultation
avoid
awake
awaken
away
axillary
axis
baby
bad
balloon
base
basis
bed
begin
benefit
benign
betadine
bilateral
bilaterally
biopsy
bipolar
bit
bladder
blade
bleed
bleeding
block
blood
blunt
body
bone
bony
bovie
bowel
brain
branch
breast
breath
bring
brother
bruit
bun
bypass
calcium
canal
cancer
cannula
capsular
capsule
carcinoma
cardiac
cardiovascular
care
carefully
carotid
carpal
carry
cartilage
case
cataract
catheter
catheterization
cause
cautery
cavity
cbc
cc
cell
center
central
cervical
cervix
chamber
change
chart
check
chest
chief
child
chill
chromic
chronic
circumflex
clamp
clean
clear
clinic
clinical
clip
clock
close
closure
clot
club
cm
colon
colonoscopy
come
common
complain
complaint
complete
completely
completion
complex
complication
component
compression
concern
condition
confirm
consent
consider
consist
consistent
consult
consultation
contact
continue
continuous
contrast
control
copious
copiously
cord
coronary
correct
cough
coumadin
count
course
cranial
create
creatinine
csf
ct
cuff
culture
current
currently
cut
cyanosis
cyst
cystic
daily
date
datum
daughter
day
decide
decompression
decrease
deep
defect
deficit
deformity
degenerative
degree
deliver
delivery
demonstrate
deny
department
depression
descend
describe
description
detail
develop
device
diabete
diagnose
diagnosis
diagnostic
diameter
diarrhea
die
diet
difficult
difficulty
diffuse
dilate
direct
disc
discharge
discomfort
discuss
disease
disk
disorder
dissect
dissection
distal
distally
distress
divide
dorsal
dose
double
dr
drain
drainage
drape
dress
dressing
drill
drink
drop
drug
dry
duct
dura
ear
early
easily
eat
echocardiogram
edema
edge
effect
effusion
ejection
ekg
elbow
electrocautery
elevate
elevated
emergency
end
endotracheal
enlarge
enter
entire
epidural
epinephrine
episode
equal
erythema
esophagus
estimate
evaluate
evaluation
event
evidence
exam
examination
examine
excellent
excise
excision
exercise
experience
explain
expose
exposure
extend
extension
extensive
extensor
external
extremity
extubate
eye
face
facial
failure
fall
family
fascia
fashion
fat
father
feel
female
femoral
fetal
fever
fibrillation
field
fifth
fill
final
find
finding
finger
fixation
flap
flexion
flexor
floor
flow
fluid
fluoroscopy
flush
focal
fold
foley
follow
followup
food
foot
foreign
form
fraction
fracture
fragment
free
french
frontal
function
fusion
gait
gallbladder
gallop
gauge
general
gentleman
get
gi
give
gland
glucose
go
good
grade
graft
grasp
great
gross
grossly
guide
guidewire
half
hand
have
head
headache
health
healthy
hear
heart
heent
height
help
hematocrit
hematoma
hemoglobin
hemorrhage
hemostasis
hernia
high
hip
history
hold
hole
home
hospital
hospitalization
hour
husband
hypertension
hypertrophy
identify
ii
iliac
illness
image
immediately
implant
impression
improve
improvement
inch
incise
incision
include
increase
indicate
indication
infection
inferior
inferiorly
infiltrate
inflate
inform
information
informed
inguinal
initial
initially
inject
injection
injury
insert
insertion
inspect
inspection
instruct
instruction
instrument
insulin
intact
internal
interrupted
intervention
intraoperative
intravenous
introduce
involve
irrigate
irrigation
issue
iv
joint
junction
kidney
knee
knife
know
lab
laboratory
laceration
laparoscopic
large
later
lateral
laterally
layer
lead
leave
left
leg
length
lens
lesion
level
lid
lidocaine
ligament
ligate
light
like
likely
limit
line
little
live
liver
lobe
local
long
longus
look
loss
low
lumbar
lung
lymph
lymphadenopathy
main
maintain
male
management
manner
marcaine
margin
mark
mass
material
measure
medial
medially
medical
medication
membrane
memory
mental
mention
metatarsal
mg
mid
middle
midline
mild
minimal
minute
ml
mm
mmhg
moderate
moist
mom
monitor
monocryl
month
morning
mother
motion
motor
mouth
move
movement
mr
mri
ms
mucosa
multiple
murmur
muscle
musculoskeletal
myocardial
nasal
nausea
near
neck
need
needle
negative
nerve
neurologic
neurological
new
night
node
non
nontender
normal
normocephalic
nose
note
notice
number
numbness
nylon
oblique
obstruction
obstructive
obtain
obvious
occasional
occur
office
old
onset
open
operating
operation
operative
option
oral
order
orient
oropharynx
osteotomy
outpatient
ovary
oxygen
pacemaker
pack
pad
pain
palpable
palpate
palpation
parent
partial
pass
past
patent
pathology
patient
pedicle
pelvic
pelvis
perform
period
peripheral
peritoneum
physical
physician
pin
place
placement
plain
plan
plane
plantar
plate
platelet
pleasant
pleural
pneumonia
point
polyp
poor
port
portion
position
positive
possible
post
posterior
posteriorly
postoperative
potassium
pound
pregnancy
preoperative
preppe
prescription
present
presentation
pressure
previous
previously
primary
prior
probably
probe
problem
procedure
proceed
process
prolene
prostate
protein
provide
proximal
proximally
psychiatric
pull
pulmonary
pulse
pupil
quadrant
question
radial
radiation
range
rash
rate
ray
reactive
reapproximate
reason
receive
recent
recently
recommend
recommendation
record
recovery
rectal
rectus
recurrent
red
reduce
reduction
refer
reflect
reflex
reflux
region
regular
relate
release
remain
removal
remove
renal
repair
repeat
replacement
report
request
require
resect
resection
residual
resolve
respiration
respiratory
response
rest
result
retract
retractor
return
reveal
review
rhythm
right
ring
risk
room
root
round
routine
rub
rule
run
sac
saline
satisfactory
saturation
say
scalpel
scan
scar
schedule
school
scissor
scope
screw
second
secondary
section
secure
sedation
see
segment
seizure
self
send
sensation
sensory
separate
septum
service
severe
sharp
sheath
short
shortness
shoulder
show
shunt
side
sign
significant
silk
similar
single
sinus
sit
site
size
skin
sleep
slightly
small
smoke
social
soft
solution
somewhat
sound
space
speciman
specimen
speech
spinal
spine
sponge
stable
stage
standard
staple
start
state
status
stay
stenosis
stent
steri
sterile
stitch
stomach
stone
stool
stop
straight
strength
stress
strip
stroke
structure
study
subcutaneous
subcuticular
subjective
subsequently
suction
suggest
suite
superficial
superior
superiorly
supine
supple
support
surface
surgery
surgical
suture
swallow
swell
swelling
symptom
syndrome
system
systolic
table
tablet
take
tear
technique
tell
temperature
temporal
tenderness
tendon
term
test
testing
testis
th
therapy
thigh
think
throat
thyroid
tibial
tie
time
tip
tissue
tobacco
today
toe
tolerate
tone
tongue
tonsil
tooth
total
tourniquet
trachea
tract
transect
transfer
transverse
trauma
treat
treatment
trial
trocar
try
tube
tumor
tunnel
turn
twice
type
ulcer
ulnar
ultrasound
unable
undergo
underlie
understand
unit
unremarkable
upper
ureteral
urinary
urine
use
usual
uterine
uterus
utilize
vaginal
valve
vascular
vein
venous
ventricle
ventricular
vertebral
vessel
vicryl
view
vision
visit
visual
visualization
visualize
vital
vitamin
vomit
vomiting
walk
wall
want
warm
way
weakness
week
weight
well
wheeze
white
wife
wire
withdraw
woman
work
workup
worsen
wound
wrist
xyz
year
